id,international_name,competition_name,count,country_code
1909713,Aleksandar Dragović,European Championship,29,AUT
1909713,Aleksandar Dragović,FIFA World Cup,27,AUT
1909713,Aleksandar Dragović,Friendly Matches,34,AUT
1909713,Aleksandar Dragović,UEFA Nations League,9,AUT
1909713,Aleksandar Dragović,total,99,AUT
250050403,Alessandro Schöpf,European Championship,3,AUT
250050403,Alessandro Schöpf,FIFA World Cup,7,AUT
250050403,Alessandro Schöpf,Friendly Matches,16,AUT
250050403,Alessandro Schöpf,UEFA Nations League,6,AUT
250050403,Alessandro Schöpf,total,32,AUT
250055899,Alexander Schlager,European Championship,6,AUT
250055899,Alexander Schlager,FIFA World Cup,3,AUT
250055899,Alexander Schlager,Friendly Matches,3,AUT
250055899,Alexander Schlager,UEFA Nations League,4,AUT
250055899,Alexander Schlager,total,16,AUT
101177,Andreas Ulmer,European Championship,10,AUT
101177,Andreas Ulmer,FIFA World Cup,7,AUT
101177,Andreas Ulmer,Friendly Matches,8,AUT
101177,Andreas Ulmer,UEFA Nations League,8,AUT
101177,Andreas Ulmer,total,33,AUT
250089289,Christoph Baumgartner,FIFA World Cup,3,AUT
250089289,Christoph Baumgartner,Friendly Matches,3,AUT
250089289,Christoph Baumgartner,UEFA Nations League,4,AUT
250089289,Christoph Baumgartner,total,10,AUT
250010552,Christopher Trimmel,European Championship,4,AUT
250010552,Christopher Trimmel,FIFA World Cup,5,AUT
250010552,Christopher Trimmel,Friendly Matches,6,AUT
250010552,Christopher Trimmel,UEFA Nations League,5,AUT
250010552,Christopher Trimmel,total,20,AUT
250056875,Daniel Bachmann,FIFA World Cup,7,AUT
250056875,Daniel Bachmann,Friendly Matches,2,AUT
250056875,Daniel Bachmann,total,9,AUT
1906540,David Alaba,European Championship,24,AUT
1906540,David Alaba,FIFA World Cup,20,AUT
1906540,David Alaba,Friendly Matches,31,AUT
1906540,David Alaba,UEFA Nations League,7,AUT
1906540,David Alaba,total,82,AUT
250041706,Florian Grillitsch,European Championship,6,AUT
250041706,Florian Grillitsch,FIFA World Cup,7,AUT
250041706,Florian Grillitsch,Friendly Matches,11,AUT
250041706,Florian Grillitsch,UEFA Nations League,5,AUT
250041706,Florian Grillitsch,total,29,AUT
98843,Julian Baumgartlinger,European Championship,29,AUT
98843,Julian Baumgartlinger,FIFA World Cup,23,AUT
98843,Julian Baumgartlinger,Friendly Matches,32,AUT
98843,Julian Baumgartlinger,UEFA Nations League,8,AUT
98843,Julian Baumgartlinger,total,92,AUT
250075612,Karim Onisiwo,European Championship,10,AUT
250075612,Karim Onisiwo,FIFA World Cup,3,AUT
250075612,Karim Onisiwo,Friendly Matches,5,AUT
250075612,Karim Onisiwo,UEFA Nations League,6,AUT
250075612,Karim Onisiwo,total,24,AUT
250065413,Konrad Laimer,European Championship,9,AUT
250065413,Konrad Laimer,FIFA World Cup,3,AUT
250065413,Konrad Laimer,Friendly Matches,2,AUT
250065413,Konrad Laimer,UEFA Nations League,2,AUT
250065413,Konrad Laimer,total,16,AUT
250024351,Louis Schaub,European Championship,8,AUT
250024351,Louis Schaub,FIFA World Cup,13,AUT
250024351,Louis Schaub,Friendly Matches,9,AUT
250024351,Louis Schaub,UEFA Nations League,8,AUT
250024351,Louis Schaub,total,38,AUT
250024349,Marcel Sabitzer,European Championship,22,AUT
250024349,Marcel Sabitzer,FIFA World Cup,13,AUT
250024349,Marcel Sabitzer,Friendly Matches,15,AUT
250024349,Marcel Sabitzer,UEFA Nations League,6,AUT
250024349,Marcel Sabitzer,total,56,AUT
150182144,Marco Friedl,European Championship,2,AUT
150182144,Marco Friedl,FIFA World Cup,3,AUT
150182144,Marco Friedl,Friendly Matches,2,AUT
150182144,Marco Friedl,total,7,AUT
1903428,Marko Arnautović,European Championship,30,AUT
1903428,Marko Arnautović,FIFA World Cup,21,AUT
1903428,Marko Arnautović,Friendly Matches,32,AUT
1903428,Marko Arnautović,UEFA Nations League,6,AUT
1903428,Marko Arnautović,total,89,AUT
250020234,Martin Hinteregger,European Championship,18,AUT
250020234,Martin Hinteregger,FIFA World Cup,8,AUT
250020234,Martin Hinteregger,Friendly Matches,23,AUT
250020234,Martin Hinteregger,UEFA Nations League,10,AUT
250020234,Martin Hinteregger,total,59,AUT
250023832,Michael Gregoritsch,European Championship,8,AUT
250023832,Michael Gregoritsch,FIFA World Cup,12,AUT
250023832,Michael Gregoritsch,Friendly Matches,8,AUT
250023832,Michael Gregoritsch,UEFA Nations League,9,AUT
250023832,Michael Gregoritsch,total,37,AUT
250021810,Pavao Pervan,European Championship,8,AUT
250021810,Pavao Pervan,FIFA World Cup,5,AUT
250021810,Pavao Pervan,Friendly Matches,4,AUT
250021810,Pavao Pervan,UEFA Nations League,6,AUT
250021810,Pavao Pervan,total,23,AUT
250073627,Philipp Lienhart,European Championship,6,AUT
250073627,Philipp Lienhart,FIFA World Cup,5,AUT
250073627,Philipp Lienhart,Friendly Matches,3,AUT
250073627,Philipp Lienhart,UEFA Nations League,2,AUT
250073627,Philipp Lienhart,total,16,AUT
250116789,Sasa Kalajdzic,FIFA World Cup,3,AUT
250116789,Sasa Kalajdzic,Friendly Matches,4,AUT
250116789,Sasa Kalajdzic,UEFA Nations League,4,AUT
250116789,Sasa Kalajdzic,total,11,AUT
103354,Stefan Ilsanker,European Championship,23,AUT
103354,Stefan Ilsanker,FIFA World Cup,11,AUT
103354,Stefan Ilsanker,Friendly Matches,21,AUT
103354,Stefan Ilsanker,UEFA Nations League,10,AUT
103354,Stefan Ilsanker,total,65,AUT
250003976,Stefan Lainer,European Championship,7,AUT
250003976,Stefan Lainer,FIFA World Cup,9,AUT
250003976,Stefan Lainer,Friendly Matches,8,AUT
250003976,Stefan Lainer,UEFA Nations League,10,AUT
250003976,Stefan Lainer,total,34,AUT
250065419,Stefan Posch,European Championship,10,AUT
250065419,Stefan Posch,FIFA World Cup,1,AUT
250065419,Stefan Posch,Friendly Matches,3,AUT
250065419,Stefan Posch,UEFA Nations League,4,AUT
250065419,Stefan Posch,total,18,AUT
250052757,Valentino Lazaro,European Championship,13,AUT
250052757,Valentino Lazaro,FIFA World Cup,9,AUT
250052757,Valentino Lazaro,Friendly Matches,12,AUT
250052757,Valentino Lazaro,UEFA Nations League,4,AUT
250052757,Valentino Lazaro,total,38,AUT
250065408,Xaver Schlager,European Championship,4,AUT
250065408,Xaver Schlager,FIFA World Cup,3,AUT
250065408,Xaver Schlager,Friendly Matches,7,AUT
250065408,Xaver Schlager,UEFA Nations League,10,AUT
250065408,Xaver Schlager,total,24,AUT
103335,Axel Witsel,European Championship,29,BEL
103335,Axel Witsel,FIFA World Cup,35,BEL
103335,Axel Witsel,Friendly Matches,44,BEL
103335,Axel Witsel,UEFA Nations League,9,BEL
103335,Axel Witsel,total,117,BEL
1902165,Christian Benteke,European Championship,21,BEL
1902165,Christian Benteke,FIFA World Cup,20,BEL
1902165,Christian Benteke,Friendly Matches,23,BEL
1902165,Christian Benteke,UEFA Nations League,4,BEL
1902165,Christian Benteke,total,68,BEL
250005255,Dedryck Boyata,European Championship,9,BEL
250005255,Dedryck Boyata,FIFA World Cup,6,BEL
250005255,Dedryck Boyata,Friendly Matches,11,BEL
250005255,Dedryck Boyata,UEFA Nations League,7,BEL
250005255,Dedryck Boyata,total,33,BEL
250023003,Dennis Praet,European Championship,9,BEL
250023003,Dennis Praet,FIFA World Cup,3,BEL
250023003,Dennis Praet,Friendly Matches,5,BEL
250023003,Dennis Praet,UEFA Nations League,7,BEL
250023003,Dennis Praet,total,24,BEL
250019924,Dries Mertens,European Championship,31,BEL
250019924,Dries Mertens,FIFA World Cup,34,BEL
250019924,Dries Mertens,Friendly Matches,38,BEL
250019924,Dries Mertens,UEFA Nations League,8,BEL
250019924,Dries Mertens,total,111,BEL
1902160,Eden Hazard,European Championship,31,BEL
1902160,Eden Hazard,FIFA World Cup,34,BEL
1902160,Eden Hazard,Friendly Matches,40,BEL
1902160,Eden Hazard,UEFA Nations League,6,BEL
1902160,Eden Hazard,total,111,BEL
250064188,Hans Vanaken,European Championship,9,BEL
250064188,Hans Vanaken,FIFA World Cup,3,BEL
250064188,Hans Vanaken,Friendly Matches,6,BEL
250064188,Hans Vanaken,UEFA Nations League,10,BEL
250064188,Hans Vanaken,total,28,BEL
103704,Jan Vertonghen,European Championship,39,BEL
103704,Jan Vertonghen,FIFA World Cup,41,BEL
103704,Jan Vertonghen,Friendly Matches,45,BEL
103704,Jan Vertonghen,UEFA Nations League,5,BEL
103704,Jan Vertonghen,total,130,BEL
250064362,Jason Denayer,European Championship,19,BEL
250064362,Jason Denayer,FIFA World Cup,3,BEL
250064362,Jason Denayer,Friendly Matches,12,BEL
250064362,Jason Denayer,UEFA Nations League,9,BEL
250064362,Jason Denayer,total,43,BEL
250113142,Jéremy Doku,FIFA World Cup,3,BEL
250113142,Jéremy Doku,Friendly Matches,3,BEL
250113142,Jéremy Doku,UEFA Nations League,4,BEL
250113142,Jéremy Doku,total,10,BEL
250008901,Kevin De Bruyne,European Championship,21,BEL
250008901,Kevin De Bruyne,FIFA World Cup,31,BEL
250008901,Kevin De Bruyne,Friendly Matches,28,BEL
250008901,Kevin De Bruyne,UEFA Nations League,4,BEL
250008901,Kevin De Bruyne,total,84,BEL
250042602,Leander Dendoncker,European Championship,8,BEL
250042602,Leander Dendoncker,FIFA World Cup,11,BEL
250042602,Leander Dendoncker,Friendly Matches,8,BEL
250042602,Leander Dendoncker,UEFA Nations League,8,BEL
250042602,Leander Dendoncker,total,35,BEL
250023009,Leandro Trossard,European Championship,1,BEL
250023009,Leandro Trossard,FIFA World Cup,3,BEL
250023009,Leandro Trossard,Friendly Matches,3,BEL
250023009,Leandro Trossard,UEFA Nations League,4,BEL
250023009,Leandro Trossard,total,11,BEL
250007046,Matz Sels,European Championship,10,BEL
250007046,Matz Sels,FIFA World Cup,5,BEL
250007046,Matz Sels,Friendly Matches,5,BEL
250007046,Matz Sels,UEFA Nations League,1,BEL
250007046,Matz Sels,total,21,BEL
250038932,Michy Batshuayi,European Championship,18,BEL
250038932,Michy Batshuayi,FIFA World Cup,16,BEL
250038932,Michy Batshuayi,Friendly Matches,16,BEL
250038932,Michy Batshuayi,UEFA Nations League,9,BEL
250038932,Michy Batshuayi,total,59,BEL
250022315,Nacer Chadli,European Championship,19,BEL
250022315,Nacer Chadli,FIFA World Cup,27,BEL
250022315,Nacer Chadli,Friendly Matches,26,BEL
250022315,Nacer Chadli,UEFA Nations League,6,BEL
250022315,Nacer Chadli,total,78,BEL
250010802,Romelu Lukaku,European Championship,27,BEL
250010802,Romelu Lukaku,FIFA World Cup,31,BEL
250010802,Romelu Lukaku,Friendly Matches,42,BEL
250010802,Romelu Lukaku,UEFA Nations League,7,BEL
250010802,Romelu Lukaku,total,107,BEL
98078,Simon Mignolet,European Championship,29,BEL
98078,Simon Mignolet,FIFA World Cup,28,BEL
98078,Simon Mignolet,Friendly Matches,31,BEL
98078,Simon Mignolet,UEFA Nations League,8,BEL
98078,Simon Mignolet,total,96,BEL
250011668,Thibaut Courtois,European Championship,25,BEL
250011668,Thibaut Courtois,FIFA World Cup,34,BEL
250011668,Thibaut Courtois,Friendly Matches,25,BEL
250011668,Thibaut Courtois,UEFA Nations League,6,BEL
250011668,Thibaut Courtois,total,90,BEL
250029318,Thomas Meunier,European Championship,13,BEL
250029318,Thomas Meunier,FIFA World Cup,15,BEL
250029318,Thomas Meunier,Friendly Matches,16,BEL
250029318,Thomas Meunier,UEFA Nations League,9,BEL
250029318,Thomas Meunier,total,53,BEL
71982,Thomas Vermaelen,European Championship,26,BEL
71982,Thomas Vermaelen,FIFA World Cup,31,BEL
71982,Thomas Vermaelen,Friendly Matches,34,BEL
71982,Thomas Vermaelen,UEFA Nations League,2,BEL
71982,Thomas Vermaelen,total,93,BEL
250012551,Thorgan Hazard,European Championship,8,BEL
250012551,Thorgan Hazard,FIFA World Cup,12,BEL
250012551,Thorgan Hazard,Friendly Matches,16,BEL
250012551,Thorgan Hazard,UEFA Nations League,8,BEL
250012551,Thorgan Hazard,total,44,BEL
250058949,Timothy Castagne,European Championship,8,BEL
250058949,Timothy Castagne,FIFA World Cup,3,BEL
250058949,Timothy Castagne,Friendly Matches,5,BEL
250058949,Timothy Castagne,UEFA Nations League,8,BEL
250058949,Timothy Castagne,total,24,BEL
103333,Toby Alderweireld,European Championship,31,BEL
103333,Toby Alderweireld,FIFA World Cup,37,BEL
103333,Toby Alderweireld,Friendly Matches,39,BEL
103333,Toby Alderweireld,UEFA Nations League,10,BEL
103333,Toby Alderweireld,total,117,BEL
250040959,Yannick Carrasco,European Championship,20,BEL
250040959,Yannick Carrasco,FIFA World Cup,13,BEL
250040959,Yannick Carrasco,Friendly Matches,15,BEL
250040959,Yannick Carrasco,UEFA Nations League,5,BEL
250040959,Yannick Carrasco,total,53,BEL
250064006,Youri Tielemans,European Championship,10,BEL
250064006,Youri Tielemans,FIFA World Cup,16,BEL
250064006,Youri Tielemans,Friendly Matches,12,BEL
250064006,Youri Tielemans,UEFA Nations League,10,BEL
250064006,Youri Tielemans,total,48,BEL
1906416,Andrej Kramarić,European Championship,17,CRO
1906416,Andrej Kramarić,FIFA World Cup,20,CRO
1906416,Andrej Kramarić,Friendly Matches,15,CRO
1906416,Andrej Kramarić,UEFA Nations League,7,CRO
1906416,Andrej Kramarić,total,59,CRO
250053837,Ante Budimir,FIFA World Cup,3,CRO
250053837,Ante Budimir,Friendly Matches,4,CRO
250053837,Ante Budimir,UEFA Nations League,6,CRO
250053837,Ante Budimir,total,13,CRO
250033878,Ante Rebić,European Championship,11,CRO
250033878,Ante Rebić,FIFA World Cup,14,CRO
250033878,Ante Rebić,Friendly Matches,12,CRO
250033878,Ante Rebić,UEFA Nations League,5,CRO
250033878,Ante Rebić,total,42,CRO
250084988,Borna Barišić,European Championship,8,CRO
250084988,Borna Barišić,FIFA World Cup,5,CRO
250084988,Borna Barišić,Friendly Matches,9,CRO
250084988,Borna Barišić,UEFA Nations League,6,CRO
250084988,Borna Barišić,total,28,CRO
250063394,Bruno Petković,European Championship,8,CRO
250063394,Bruno Petković,Friendly Matches,5,CRO
250063394,Bruno Petković,UEFA Nations League,6,CRO
250063394,Bruno Petković,total,19,CRO
97219,Dejan Lovren,European Championship,17,CRO
97219,Dejan Lovren,FIFA World Cup,31,CRO
97219,Dejan Lovren,Friendly Matches,24,CRO
97219,Dejan Lovren,UEFA Nations League,8,CRO
97219,Dejan Lovren,total,80,CRO
250116707,Domagoj Bradarić,Friendly Matches,1,CRO
250116707,Domagoj Bradarić,UEFA Nations League,4,CRO
250116707,Domagoj Bradarić,total,5,CRO
108567,Domagoj Vida,European Championship,29,CRO
108567,Domagoj Vida,FIFA World Cup,34,CRO
108567,Domagoj Vida,Friendly Matches,32,CRO
108567,Domagoj Vida,UEFA Nations League,8,CRO
108567,Domagoj Vida,total,103,CRO
250042625,Dominik Livaković,European Championship,8,CRO
250042625,Dominik Livaković,FIFA World Cup,11,CRO
250042625,Dominik Livaković,Friendly Matches,9,CRO
250042625,Dominik Livaković,UEFA Nations League,10,CRO
250042625,Dominik Livaković,total,38,CRO
250058183,Duje Ćaleta-Car,European Championship,5,CRO
250058183,Duje Ćaleta-Car,FIFA World Cup,6,CRO
250058183,Duje Ćaleta-Car,Friendly Matches,8,CRO
250058183,Duje Ćaleta-Car,UEFA Nations League,6,CRO
250058183,Duje Ćaleta-Car,total,25,CRO
103310,Ivan Perišić,European Championship,31,CRO
103310,Ivan Perišić,FIFA World Cup,34,CRO
103310,Ivan Perišić,Friendly Matches,27,CRO
103310,Ivan Perišić,UEFA Nations League,10,CRO
103310,Ivan Perišić,total,102,CRO
250066132,Josip Brekalo,European Championship,8,CRO
250066132,Josip Brekalo,FIFA World Cup,3,CRO
250066132,Josip Brekalo,Friendly Matches,5,CRO
250066132,Josip Brekalo,UEFA Nations League,8,CRO
250066132,Josip Brekalo,total,24,CRO
250078379,Josip Juranović,European Championship,2,CRO
250078379,Josip Juranović,FIFA World Cup,3,CRO
250078379,Josip Juranović,Friendly Matches,5,CRO
250078379,Josip Juranović,UEFA Nations League,2,CRO
250078379,Josip Juranović,total,12,CRO
250127284,Joško Gvardiol,Friendly Matches,1,CRO
250127284,Joško Gvardiol,total,1,CRO
108956,Lovre Kalinić,European Championship,22,CRO
108956,Lovre Kalinić,FIFA World Cup,18,CRO
108956,Lovre Kalinić,Friendly Matches,17,CRO
108956,Lovre Kalinić,UEFA Nations League,3,CRO
108956,Lovre Kalinić,total,60,CRO
250098468,Luka Ivanušec,Friendly Matches,2,CRO
250098468,Luka Ivanušec,total,2,CRO
74699,Luka Modrić,European Championship,50,CRO
74699,Luka Modrić,FIFA World Cup,43,CRO
74699,Luka Modrić,Friendly Matches,42,CRO
74699,Luka Modrić,UEFA Nations League,8,CRO
74699,Luka Modrić,total,143,CRO
250040564,Marcelo Brozović,European Championship,21,CRO
250040564,Marcelo Brozović,FIFA World Cup,23,CRO
250040564,Marcelo Brozović,Friendly Matches,20,CRO
250040564,Marcelo Brozović,UEFA Nations League,6,CRO
250040564,Marcelo Brozović,total,70,CRO
250042631,Mario Pašalić,European Championship,9,CRO
250042631,Mario Pašalić,FIFA World Cup,10,CRO
250042631,Mario Pašalić,Friendly Matches,12,CRO
250042631,Mario Pašalić,UEFA Nations League,10,CRO
250042631,Mario Pašalić,total,41,CRO
250023551,Mateo Kovačić,European Championship,18,CRO
250023551,Mateo Kovačić,FIFA World Cup,26,CRO
250023551,Mateo Kovačić,Friendly Matches,21,CRO
250023551,Mateo Kovačić,UEFA Nations League,9,CRO
250023551,Mateo Kovačić,total,74,CRO
97206,Milan Badelj,European Championship,25,CRO
97206,Milan Badelj,FIFA World Cup,25,CRO
97206,Milan Badelj,Friendly Matches,25,CRO
97206,Milan Badelj,UEFA Nations League,10,CRO
97206,Milan Badelj,total,85,CRO
250019552,Mile Škorić,European Championship,6,CRO
250019552,Mile Škorić,Friendly Matches,5,CRO
250019552,Mile Škorić,UEFA Nations League,3,CRO
250019552,Mile Škorić,total,14,CRO
250024176,Mislav Oršić,European Championship,5,CRO
250024176,Mislav Oršić,FIFA World Cup,3,CRO
250024176,Mislav Oršić,Friendly Matches,5,CRO
250024176,Mislav Oršić,UEFA Nations League,4,CRO
250024176,Mislav Oršić,total,17,CRO
250066135,Nikola Vlašić,European Championship,7,CRO
250066135,Nikola Vlašić,FIFA World Cup,5,CRO
250066135,Nikola Vlašić,Friendly Matches,6,CRO
250066135,Nikola Vlašić,UEFA Nations League,8,CRO
250066135,Nikola Vlašić,total,26,CRO
250012526,Simon Sluga,European Championship,8,CRO
250012526,Simon Sluga,FIFA World Cup,3,CRO
250012526,Simon Sluga,Friendly Matches,7,CRO
250012526,Simon Sluga,UEFA Nations League,7,CRO
250012526,Simon Sluga,total,25,CRO
1906421,Šime Vrsaljko,European Championship,18,CRO
1906421,Šime Vrsaljko,FIFA World Cup,25,CRO
1906421,Šime Vrsaljko,Friendly Matches,21,CRO
1906421,Šime Vrsaljko,UEFA Nations League,4,CRO
1906421,Šime Vrsaljko,total,68,CRO
250114001,Adam Hložek,Friendly Matches,2,CZE
250114001,Adam Hložek,UEFA Nations League,1,CZE
250114001,Adam Hložek,total,3,CZE
250077921,Alex Král,European Championship,8,CZE
250077921,Alex Král,Friendly Matches,6,CZE
250077921,Alex Král,UEFA Nations League,5,CZE
250077921,Alex Král,total,19,CZE
250045608,Aleš Mandous,FIFA World Cup,3,CZE
250045608,Aleš Mandous,Friendly Matches,3,CZE
250045608,Aleš Mandous,UEFA Nations League,3,CZE
250045608,Aleš Mandous,total,9,CZE
250055105,Aleš Matějů,FIFA World Cup,2,CZE
250055105,Aleš Matějů,Friendly Matches,4,CZE
250055105,Aleš Matějů,UEFA Nations League,5,CZE
250055105,Aleš Matějů,total,11,CZE
250092717,Antonín Barák,FIFA World Cup,9,CZE
250092717,Antonín Barák,Friendly Matches,11,CZE
250092717,Antonín Barák,UEFA Nations League,4,CZE
250092717,Antonín Barák,total,24,CZE
250124916,David Zima,FIFA World Cup,3,CZE
250124916,David Zima,Friendly Matches,2,CZE
250124916,David Zima,UEFA Nations League,1,CZE
250124916,David Zima,total,6,CZE
250014597,Jakub Brabec,European Championship,7,CZE
250014597,Jakub Brabec,FIFA World Cup,7,CZE
250014597,Jakub Brabec,Friendly Matches,10,CZE
250014597,Jakub Brabec,UEFA Nations League,7,CZE
250014597,Jakub Brabec,total,31,CZE
250081964,Jakub Jankto,European Championship,8,CZE
250081964,Jakub Jankto,FIFA World Cup,9,CZE
250081964,Jakub Jankto,Friendly Matches,12,CZE
250081964,Jakub Jankto,UEFA Nations League,7,CZE
250081964,Jakub Jankto,total,36,CZE
250144288,Jakub Pešek,FIFA World Cup,3,CZE
250144288,Jakub Pešek,Friendly Matches,2,CZE
250144288,Jakub Pešek,UEFA Nations League,1,CZE
250144288,Jakub Pešek,total,6,CZE
1907136,Jan Bořil,European Championship,7,CZE
1907136,Jan Bořil,FIFA World Cup,7,CZE
1907136,Jan Bořil,Friendly Matches,9,CZE
1907136,Jan Bořil,UEFA Nations League,4,CZE
1907136,Jan Bořil,total,27,CZE
250078648,Jiří Pavlenka,European Championship,9,CZE
250078648,Jiří Pavlenka,FIFA World Cup,10,CZE
250078648,Jiří Pavlenka,Friendly Matches,11,CZE
250078648,Jiří Pavlenka,UEFA Nations League,4,CZE
250078648,Jiří Pavlenka,total,34,CZE
150296281,Lukáš Masopust,European Championship,8,CZE
150296281,Lukáš Masopust,FIFA World Cup,3,CZE
150296281,Lukáš Masopust,Friendly Matches,6,CZE
150296281,Lukáš Masopust,UEFA Nations League,7,CZE
150296281,Lukáš Masopust,total,24,CZE
1909688,Matěj Vydra,European Championship,7,CZE
1909688,Matěj Vydra,FIFA World Cup,11,CZE
1909688,Matěj Vydra,Friendly Matches,16,CZE
1909688,Matěj Vydra,UEFA Nations League,7,CZE
1909688,Matěj Vydra,total,41,CZE
250029287,Michael Krmenčík,European Championship,5,CZE
250029287,Michael Krmenčík,FIFA World Cup,10,CZE
250029287,Michael Krmenčík,Friendly Matches,11,CZE
250029287,Michael Krmenčík,UEFA Nations League,6,CZE
250029287,Michael Krmenčík,total,32,CZE
250077931,Michal Sadílek,European Championship,2,CZE
250077931,Michal Sadílek,Friendly Matches,1,CZE
250077931,Michal Sadílek,total,3,CZE
250000900,Ondřej Čelůstka,European Championship,8,CZE
250000900,Ondřej Čelůstka,FIFA World Cup,7,CZE
250000900,Ondřej Čelůstka,Friendly Matches,9,CZE
250000900,Ondřej Čelůstka,UEFA Nations League,6,CZE
250000900,Ondřej Čelůstka,total,30,CZE
250055110,Patrik Schick,European Championship,6,CZE
250055110,Patrik Schick,FIFA World Cup,6,CZE
250055110,Patrik Schick,Friendly Matches,13,CZE
250055110,Patrik Schick,UEFA Nations League,4,CZE
250055110,Patrik Schick,total,29,CZE
250004178,Pavel Kadeřábek,European Championship,19,CZE
250004178,Pavel Kadeřábek,FIFA World Cup,11,CZE
250004178,Pavel Kadeřábek,Friendly Matches,20,CZE
250004178,Pavel Kadeřábek,UEFA Nations League,5,CZE
250004178,Pavel Kadeřábek,total,55,CZE
250055928,Petr Ševčík,European Championship,2,CZE
250055928,Petr Ševčík,Friendly Matches,3,CZE
250055928,Petr Ševčík,UEFA Nations League,3,CZE
250055928,Petr Ševčík,total,8,CZE
250054481,Tomáš Holeš,FIFA World Cup,3,CZE
250054481,Tomáš Holeš,Friendly Matches,3,CZE
250054481,Tomáš Holeš,UEFA Nations League,4,CZE
250054481,Tomáš Holeš,total,10,CZE
250011913,Tomáš Kalas,European Championship,9,CZE
250011913,Tomáš Kalas,FIFA World Cup,8,CZE
250011913,Tomáš Kalas,Friendly Matches,14,CZE
250011913,Tomáš Kalas,UEFA Nations League,5,CZE
250011913,Tomáš Kalas,total,36,CZE
102696,Tomáš Pekhart,European Championship,9,CZE
102696,Tomáš Pekhart,FIFA World Cup,11,CZE
102696,Tomáš Pekhart,Friendly Matches,10,CZE
102696,Tomáš Pekhart,total,30,CZE
250066618,Tomáš Souček,European Championship,8,CZE
250066618,Tomáš Souček,FIFA World Cup,8,CZE
250066618,Tomáš Souček,Friendly Matches,15,CZE
250066618,Tomáš Souček,UEFA Nations League,7,CZE
250066618,Tomáš Souček,total,38,CZE
250000898,Tomáš Vaclík,European Championship,20,CZE
250000898,Tomáš Vaclík,FIFA World Cup,18,CZE
250000898,Tomáš Vaclík,Friendly Matches,26,CZE
250000898,Tomáš Vaclík,UEFA Nations League,9,CZE
250000898,Tomáš Vaclík,total,73,CZE
250061048,Vladimír Coufal,European Championship,8,CZE
250061048,Vladimír Coufal,FIFA World Cup,3,CZE
250061048,Vladimír Coufal,Friendly Matches,9,CZE
250061048,Vladimír Coufal,UEFA Nations League,8,CZE
250061048,Vladimír Coufal,total,28,CZE
250040527,Vladimír Darida,European Championship,23,CZE
250040527,Vladimír Darida,FIFA World Cup,16,CZE
250040527,Vladimír Darida,Friendly Matches,29,CZE
250040527,Vladimír Darida,UEFA Nations League,6,CZE
250040527,Vladimír Darida,total,74,CZE
250006516,Anders Christiansen,European Championship,4,DEN
250006516,Anders Christiansen,Friendly Matches,5,DEN
250006516,Anders Christiansen,UEFA Nations League,4,DEN
250006516,Anders Christiansen,total,13,DEN
250041718,Andreas  Christensen,European Championship,14,DEN
250041718,Andreas  Christensen,FIFA World Cup,18,DEN
250041718,Andreas  Christensen,Friendly Matches,13,DEN
250041718,Andreas  Christensen,UEFA Nations League,10,DEN
250041718,Andreas  Christensen,total,55,DEN
250041664,Andreas Cornelius,European Championship,5,DEN
250041664,Andreas Cornelius,FIFA World Cup,19,DEN
250041664,Andreas Cornelius,Friendly Matches,10,DEN
250041664,Andreas Cornelius,UEFA Nations League,6,DEN
250041664,Andreas Cornelius,total,40,DEN
250097638,Andreas Olsen,European Championship,1,DEN
250097638,Andreas Olsen,FIFA World Cup,3,DEN
250097638,Andreas Olsen,Friendly Matches,2,DEN
250097638,Andreas Olsen,UEFA Nations League,1,DEN
250097638,Andreas Olsen,total,7,DEN
1905884,Christian Eriksen,European Championship,28,DEN
1905884,Christian Eriksen,FIFA World Cup,32,DEN
1905884,Christian Eriksen,Friendly Matches,43,DEN
1905884,Christian Eriksen,UEFA Nations League,9,DEN
1905884,Christian Eriksen,total,112,DEN
250022797,Christian Nørgaard,European Championship,3,DEN
250022797,Christian Nørgaard,FIFA World Cup,3,DEN
250022797,Christian Nørgaard,UEFA Nations League,4,DEN
250022797,Christian Nørgaard,total,10,DEN
102869,Daniel Wass,European Championship,20,DEN
102869,Daniel Wass,FIFA World Cup,12,DEN
102869,Daniel Wass,Friendly Matches,19,DEN
102869,Daniel Wass,UEFA Nations League,6,DEN
102869,Daniel Wass,total,57,DEN
250023709,Frederik Rønnow,European Championship,7,DEN
250023709,Frederik Rønnow,FIFA World Cup,14,DEN
250023709,Frederik Rønnow,Friendly Matches,10,DEN
250023709,Frederik Rønnow,UEFA Nations League,8,DEN
250023709,Frederik Rønnow,total,39,DEN
250023708,Jannik Vestergaard,European Championship,6,DEN
250023708,Jannik Vestergaard,FIFA World Cup,15,DEN
250023708,Jannik Vestergaard,Friendly Matches,15,DEN
250023708,Jannik Vestergaard,UEFA Nations League,10,DEN
250023708,Jannik Vestergaard,total,46,DEN
1905876,Jens Stryger,European Championship,9,DEN
1905876,Jens Stryger,FIFA World Cup,17,DEN
1905876,Jens Stryger,Friendly Matches,13,DEN
1905876,Jens Stryger,UEFA Nations League,5,DEN
1905876,Jens Stryger,total,44,DEN
250070182,Joachim Andersen,European Championship,7,DEN
250070182,Joachim Andersen,FIFA World Cup,3,DEN
250070182,Joachim Andersen,Friendly Matches,3,DEN
250070182,Joachim Andersen,UEFA Nations League,2,DEN
